tradename,busloc,jobstatusdesc,licencetypes,comdistnm
MESSIAH'S CONVENIENCE STORE,#162 328 CENTRE ST SE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",CHINATOWN                               
META4 FOODS,903B 48 AV SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,HIGHFIELD                               
METAL BUILDING SYSTEMS (CALGARY),67 MOUNTAIN PARK CI SE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES (MAIL ORDER), CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS)",MCKENZIE LAKE                           
METAL GALAXY SOCIAL GAMES & BISTRO,4624 MACLEOD TR SW CALGARY,Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES",MANCHESTER                              
METAL SUPERMARKETS (CALGARY),#3 3716 56 AV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FOOTHILLS                               
METAL TECH,#7 6565 40 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
METALSMITHS,#6K 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
METALSMITHS,#154 100 ANDERSON RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,WILLOW PARK                             
METALWORKS CANADA,#A 1115 48 AV SE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, WHOLESALER",HIGHFIELD                               
METERCOR,10801 27 ST SE CALGARY,Renewal Licensed,CONTRACTOR,SHEPARD INDUSTRIAL                      
METHOD FITNESS,#16 2500 4 ST SW CALGARY,Renewal Licensed,PERSONAL SERVICE,MISSION                                 
METRIE,#45 5805 76 AV SE CALGARY,Renewal Invoiced,WHOLESALER,GREAT PLAINS                            
METRIE CANADA,#31 5353 50 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
METRIK DEVELOPMENTS,2520 CAPITOL HILL CR NW CALGARY,Renewal Licensed,CONTRACTOR,BANFF TRAIL                             
METRO ALUMINUM PRODUCTS,#5 1715 27 AV NE CALGARY,Renewal Licensed,WHOLESALER,SOUTH AIRWAYS                           
METRO CANADA LOGISTICS,4990 68 AV SE CALGARY,Renewal Invoiced,"WAREHOUSING, FOOD SERVICE - PREMISES",FOOTHILLS                               
METRO CANADA LOGISTICS,#6 5381 72 AV SE CALGARY,Renewal Licensed,WAREHOUSING,GREAT PLAINS                            
METRO CANADA LOGISTICS,#50 6567 48 ST SE CALGARY,Renewal Licensed,WAREHOUSING,FOOTHILLS                               
METRO CANADA LOGISTICS,#20 6403 48 ST SE CALGARY,Expired,WAREHOUSING,FOOTHILLS                               
METRO DEVELOPMENT CORPORATION,460 30 AV NW CALGARY,Renewal Licensed,CONTRACTOR,MOUNT PLEASANT                          
METRO DRYCLEANERS,#3 1211 14 ST SW CALGARY,Renewal Invoiced,FABRIC CLEANING,SUNALTA                                 
METRO ELEMENT ,#A 1221 KENSINGTON RD NW CALGARY,Expired,RETAIL DEALER - PREMISES,HILLHURST                               
METRO EXTERIORS,11539 42 ST SE CALGARY,Pending Renewal,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
METRO FAIRWAY INDOOR GOLFING,#10 5220 4 ST NE CALGARY,Renewal Licensed,"AMUSEMENT ARCADE, RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SKYLINE WEST                            
METRO FIRE PROTECTION,6230 48 ST SE CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),FOOTHILLS                               
METRO FORD SALES,1111 9 AV SW CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1), WHOLESALER, FOOD SERVICE - PREMISES (NO SEATING)",DOWNTOWN WEST END                       
METRO FURNITURE,5734 BURBANK CR SE CALGARY,Renewal Licensed,MANUFACTURER,BURNS INDUSTRIAL                        
METRO GLASS & ALUMINUM PRODUCTS,#108 1626 115 AV NE CALGARY,Licensed,MANUFACTURER,STONEY 1                                
METRO HARDWOOD FLOORS,6031 CENTRE ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
METRO LIQUOR STORE,#3111 55 SKYVIEW RANCH RD NE CALGARY,Pending Renewal,"LIQUOR STORE, FOOD SERVICE - PREMISES",SKYVIEW RANCH                           
METRO LUXE CUSTOM HOMES,#8 2015 32 AV NE CALGARY,Licensed,CONTRACTOR,SOUTH AIRWAYS                           
METRO MACHINE WORKS,#1109 4416 64 AV SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
METRO PAVING AND ROADBUILDING,7615 40 ST NE CALGARY,Renewal Licensed,CONTRACTOR,SADDLE RIDGE INDUSTRIAL                 
METRO WALLCOVERINGS,#40 2151 32 ST NE CALGARY,Renewal Licensed,WHOLESALER,SUNRIDGE                                
METROPOLE,901 4 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SUNNYSIDE                               
METROPOLITAN BARTENDING SCHOOL,#606 608 9 ST SW CALGARY,Pending Renewal,SCHOOL (PROV. NOT REQUIRED),DOWNTOWN COMMERCIAL CORE                
METROPOLITAN CONFERENCE CENTRE (THE),333 4 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",DOWNTOWN COMMERCIAL CORE                
METROPOLITAN DEVELOPMENTS,10456 SOUTHPORT RD SW CALGARY,Expired,CONTRACTOR,SOUTHWOOD                               
METROPOLITAN FINE PRINTERS,#6 49 AERO DR NE CALGARY,Renewal Licensed,MANUFACTURER,CALGARY INTERNATIONAL AIRPORT           
METROPOLITAN GRILL,#150 317 7 AV SW CALGARY,Pending Renewal,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",DOWNTOWN COMMERCIAL CORE                
METROPOLITAN SECURITY COMPANY (THE),#335 3132 26 ST NE CALGARY,Expired,ALARM AGENCY,SUNRIDGE                                
METROVINO,#B 722 11 AV SW CALGARY,Renewal Licensed,LIQUOR STORE,BELTLINE                                
METTECH,#1 3610 29 ST NE CALGARY,Renewal Licensed,WHOLESALER,HORIZON                                 
MH VICARS SCHOOL OF MASSAGE THERAPY,#101 200 COUNTRY HILLS LD NW CALGARY,Renewal Licensed,SCHOOL (PROV. APPROVED),COUNTRY HILLS                           
MH VICARS SCHOOL OF MASSAGE THERAPY,#103 200 COUNTRY HILLS LD NW CALGARY,Renewal Invoiced,SCHOOL (PROV. APPROVED),COUNTRY HILLS                           
MI GROUP (THE),1120 64 AV NE CALGARY,Pending Renewal,WAREHOUSING,DEERFOOT BUSINESS CENTRE                
MI PETRO CONSTRUCTION & SUPPLY,4330 116 AV SE CALGARY,Renewal Licensed,"WHOLESALER, CONTRACTOR",EAST SHEPARD INDUSTRIAL                 
MI-BOX WEST,8885 VENTURE AV SE CALGARY,Pending Renewal,WAREHOUSING,RESIDUAL WARD 12 - SUB AREA 12A
MICA CONTROLS,#210 1111 57 AV NE CALGARY,Renewal Licensed,"DISTRIBUTION MANAGER, WHOLESALER",DEERFOOT BUSINESS CENTRE                
MICELI FAMILY CHIROPRACTIC,#214 15566 MCIVOR BV SE CALGARY,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),COPPERFIELD
MICHAEL HILL,#131 6455 MACLEOD TR SW CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES",MEADOWLARK PARK                         
MICHAEL HILL,#23PB 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,VARSITY                                 
MICHAEL HILL JEWELLER,#1259 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MARLBOROUGH                             
MICHAEL HILL JEWELLER,#263 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
MICHAEL HILL JEWELLER,#328 100 ANDERSON RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,WILLOW PARK                             
MICHAEL KORS #5510,#1187 6455 MACLEOD TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
MICHAEL KORS #5518,#250 100 ANDERSON RD SE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,WILLOW PARK                             
MICHAEL KORS #5524,#271 317 7 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,DOWNTOWN COMMERCIAL CORE                
MICHAEL LIPNICKI FINE PIANOS,6035 CENTRE ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
MICHAEL MANOR,911 15 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
MICHAEL MANOR ,1337 17 AV NW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CAPITOL HILL                            
MICHAELS #3902,5588 SIGNAL HILL CE SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SIGNAL HILL                             
MICHAELS #3903,#130 350 SHAWVILLE BV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SHAWNESSY                               
MICHAELS #3912,3160 27 ST NE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SUNRIDGE                                
MICHAELS #3935,#315 130 COUNTRY VILLAGE RD NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",COVENTRY HILLS                          
MICHAELS RESTAURANT & PIZZA,139 10 AV SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
MICHAELS STORE #3931,11486 SARCEE TR NW CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SHERWOOD                                
MICHAELS STORE #3937,#400 8180 11 ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",EAST FAIRVIEW INDUSTRIAL                
MICHELANGELO FRAMING & ART,#112 908 17 AV SW CALGARY,Expired,RETAIL DEALER - PREMISES,BELTLINE                                
MICHELLE'S FLORAL BOUTIQUE,#A 19 SUNMILLS DR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNDANCE                                
MICHELLE'S FOOD STORE,2718 17 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SOUTH CALGARY                           
MICHELSEN JEWELERS,#7 675 ACADIA DR SE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, SECONDHAND DEALER",WILLOW PARK                             
MICKEY'S BARBERSHOP,#8 430 ACADIA DR SE CALGARY,Renewal Licensed,PERSONAL SERVICE,ACADIA                                  
MICO J DISTRIBUTORS,2525 23 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SOUTH AIRWAYS                           
MICRO INK CLINIC,#207 2004 14 ST NW CALGARY,Licensed,PERSONAL SERVICE (TATTOO),CAPITOL HILL                            
MICROHARD SYSTEMS,150 COUNTRY HILLS LD NW CALGARY,Renewal Licensed,MANUFACTURER,COUNTRY HILLS                           
MICROSERVE,#300 840 6 AV SW CALGARY,Renewal Licensed,DISTRIBUTION MANAGER,DOWNTOWN COMMERCIAL CORE                
MICROSOFT RETAIL STORE,#2190 6455 MACLEOD TR SW CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,MEADOWLARK PARK                         
MICRO-WATT CONTROL DEVICES,11141 15 ST NE CALGARY,Pending Renewal,WHOLESALER,STONEY 1                                
MID CITY MOTORS CALGARY,323 36 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
MIDAS AUTO SERVICE,3378 32 ST NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),HORIZON                                 
MIDAS AUTO SERVICE,556 64 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),HUNTINGTON HILLS                        
MIDAS AUTO SERVICE,9623 MACLEOD TR SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),HAYSBORO                                
MIDAS AUTO SERVICE,4121 MACLEOD TR SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),PARKHILL                                
MIDAS AUTO SERVICE,624 16 AV NW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MOUNT PLEASANT                          
MIDAS AUTO SERVICE,2529 17 AV SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),RICHMOND                                
MID-CENTURY DWELLER,1221B 9 AV SE CALGARY,Expired,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",INGLEWOOD                               
MIDGAARD SPRAYFOAM SYSTEMS,#200 4540 54 AV SE CALGARY,Renewal Licensed,CONTRACTOR,FOOTHILLS                               
MIDLAKE ESSO,40 MIDLAKE BV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R), FOOD SERVICE - PREMISES (NO SEATING)",MIDNAPORE                               
MIDLAKE VETERINARY CLINIC,#704 22 MIDLAKE BV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MIDNAPORE                               
MIDLAND DEVELOPMENT,1036 12 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
MIDLAND PAPER COMPANY,7920 10 ST NE CALGARY,Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",DEERFOOT BUSINESS CENTRE                
MIDNAPORE AUTOCARE CENTRE,#A 211 MIDPARK BV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MIDNAPORE                               
MIDNAPORE CENTEX,15207 BANNISTER RD SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",MIDNAPORE                               
MIDNAPORE FLOWER MAGIC,#530 22 MIDLAKE BV SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MIDNAPORE                               
MIDNAPORE HAIRSTYLING,#3 208 MIDPARK WY SE CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",MIDNAPORE                               
MIDNAPORE MASSAGE*THERAPY,#107 239 MIDPARK WY SE CALGARY,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),MIDNAPORE                               
MIDNAPORE PAINT & DECOR,15130 BANNISTER RD SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MIDNAPORE                               
MIDORI JAPANESE CAFE,1054 17 AV SW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
MIDSUN AUTOMOTIVE ,#1 15016 BANNISTER RD SE CALGARY,Renewal Invoiced,MOTOR VEHICLE REPAIR AND SERVICE (1),MIDNAPORE                               
MID-SUN COMMUNITY ASSOCIATION,50 MIDPARK RI SE CALGARY,Renewal Licensed,"CHARITABLE ORGANIZATION, ALCOHOL BEVERAGE SALES (RESTAURANT)",MIDNAPORE                               
MIDTOWN KITCHEN & BAR,302 10 ST NW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), OUTDOOR PATIO",SUNNYSIDE                               
MIDTOWN MANOR,616 13 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BELTLINE                                
MIDTOWN SERVICE,4730 1 ST SE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1)",MANCHESTER INDUSTRIAL                   
MID-WEST CONTRACTING/ FASTWALLS,#220 41 ROYAL VISTA DR NW CALGARY,Renewal Licensed,"MANUFACTURER, CONTRACTOR",ROYAL VISTA                             
MID-WEST DESIGN & CONSTRUCTION,#101 4800 104 AV SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
MIDWEST MECHANICAL,8715 44 ST SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),SOUTH FOOTHILLS                         
MID-WEST MOVING AND STORAGE SERVICES,#104 5421 11 ST NE CALGARY,Renewal Licensed,WAREHOUSING,SKYLINE EAST                            
MID-WEST SUPPLY,#101 7211 8 ST NE CALGARY,Renewal Licensed,WHOLESALER,DEERFOOT BUSINESS CENTRE                
MIGAROCK ,#17 7400 MACLEOD TR SE CALGARY,Renewal Invoiced,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FAIRVIEW INDUSTRIAL                     
MIGHTY MANGO,#18 15425 BANNISTER RD SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",MIDNAPORE                               
MIKA SKIN CARE,3005 26 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",KILLARNEY/GLENGARRY                     
MIKE MILES MUAY THAI & KICKBOXING,6041 6 ST SE CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",MANCHESTER INDUSTRIAL                   
MIKE MILES PROMOTIONS,6039 6 ST SE CALGARY,Licensed,PROMOTER (COMBATIVE SPORTS),MANCHESTER INDUSTRIAL                   
MIKE'S IMPORT AUTO SERVICE,2442 34 AV SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),SOUTH CALGARY                           
MIKEY'S JUKE JOINT & EATERY,1901 10 AV SW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",SUNALTA                                 
MIKKELSEN AUTO,4847 35A ST SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),EASTFIELD                               
MIKROTIP CANADA,#10 6115 4 ST SE CALGARY,Expired,MANUFACTURER,MANCHESTER INDUSTRIAL                   
MILA PROFESSIONAL NAIL & SPA,#234 66 SANDARAC DR NW CALGARY,Renewal Licensed,PERSONAL SERVICE,SANDSTONE VALLEY                        
MILAN NAILS SALON,#9 4623 BOW TR SW CALGARY,Pending Renewal,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",WESTGATE                                
MILESTONE'S BAR & GRILL,107 8 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",DOWNTOWN COMMERCIAL CORE                
MILESTONE'S GRILL & BAR,#1H 3625 SHAGANAPPI TR NW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",VARSITY                                 
MILESTONE'S GRILL & BAR ,90 ANDERSON RD SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",WILLOW PARK                             
MILE-WIDE CAR WASH,3417 17 AV SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),KILLARNEY/GLENGARRY                     
MILIANO SKIN & BODY CARE,#205 1711 4 ST SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",CLIFF BUNGALOW                          
MILK TIGER LOUNGE,#A 1410 4 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
MILLARVILLE CATERING ,#B 14500 BANNISTER RD SE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MIDNAPORE                               
MILLENIUM MOTORS CALGARY,3312 26 ST NE CALGARY,Licensed,MOTOR VEHICLE DEALER - PREMISES,HORIZON                                 
MILLENIUM MOTORS CALGARY,603 36 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,GREENVIEW INDUSTRIAL PARK               
MILLENNIUM MANUFACTURING,6503 30 ST SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
MILLENNIUM SYSTEMS,2916C 19 ST NE CALGARY,Renewal Licensed,WHOLESALER,SOUTH AIRWAYS                           
MILLER SUPPLY,3907 MANCHESTER RD SE CALGARY,Pending Renewal,"RETAIL DEALER - PREMISES, WHOLESALER",MANCHESTER INDUSTRIAL                   
MILLHOUSE CARPET,#3 2220 32 AV NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,NORTH AIRWAYS                           
MILLRISE SENIORS VILLAGE,14911 5 ST SW CALGARY,Renewal Invoiced,ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),MILLRISE                                
MILLRISE SHELL,3 MILLRISE BV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",MILLRISE                                
MILLTECH MILLWORK,#103 5421 11 ST NE CALGARY,Pending Renewal,CONTRACTOR,SKYLINE EAST                            
MILLWAY INDUSTRIES,1155B 44 AV SE CALGARY,Renewal Licensed,MANUFACTURER,HIGHFIELD                               
MIMAR SERVICES STEAMATIC,#11 801 30 ST NE CALGARY,Renewal Licensed,"CLEANING SERVICE (COMMERCIAL & RESIDENTIAL), CONTRACTOR",FRANKLIN                                
MIMI INJERA,#16 1935 30 AV NE CALGARY,Licensed,FOOD SERVICE - PREMISES (NO SEATING),SOUTH AIRWAYS                           
MIMO RESTAURANT & LOUNGE,#203 4909 17 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN INDUSTRIAL                  
MIMOSA RESTAURANT,#31 275 SHAWVILLE BV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SHAWNESSY                               
MINACOR MANAGEMENT,1718 27 AV SW CALGARY,Pending Renewal,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),SOUTH CALGARY                           
MINAS BRAZILIAN STEAKHOUSE,136 2 ST SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CHINATOWN                               
MINA'S VIETNAMESE NOODLE SOUP,#715 12100 MACLEOD TR SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",LAKE BONAVISTA                          
MIND BODY MASSAGE THERAPY,2030B 33 AV SW CALGARY,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),SOUTH CALGARY                           
MIND IN MOVEMENT,#220 1220 KENSINGTON RD NW CALGARY,Pending Renewal,MASSAGE CENTRE (COMMERCIAL),HILLHURST                               
MING,520 17 AV SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
MING WEI SUPERMARKET,3340 32 ST NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",HORIZON                                 
MINGS WOK XPRESS,#6 6208 RUNDLEHORN DR NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),PINERIDGE                               
MINH CHAU VIETNAMESE RESTAURANT,1318 9 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",INGLEWOOD                               
MINH DAO ORIENTAL ARTS & GIFTS,#335 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
MINH DAO ORIENTAL ARTS & GIFTS,#335 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
MINH FOODS & MEAT,#14 3200 14 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,FRANKLIN                                
MINHAS CONVENIENCE STORE,4214B 17 AV SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
MINHAS FURNITURE (FLAIR DESIGN),3916 72 AV SE CALGARY,Pending Renewal,"MANUFACTURER, WHOLESALER",FOOTHILLS                               
MINHAS MICRO BREWERY,#B 1314 44 AV NE CALGARY,Renewal Licensed,ALCOHOL BEVERAGE MANUFACTURER,MCCALL                                  
MINHAS MICRO BREWERY,#D 1314 44 AV NE CALGARY,Renewal Licensed,ALCOHOL BEVERAGE MANUFACTURER,MCCALL                                  
MINI CROWFOOT/THE USED CAR GALLERY,650 CROWFOOT CR NW CALGARY,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES, MOTOR VEHICLE REPAIR AND SERVICE (1), WHOLESALER",ARBOUR LAKE                             
MINI DIG,2222 ALYTH PL SE CALGARY,Renewal Licensed,CONTRACTOR,ALYTH/BONNYBROOK                        
MINI FOOD MART ,440 ERIN WOODS DR SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, FOOD SERVICE - PREMISES",ERIN WOODS
MINI MALL SELF-STORAGE,5210 77 AV SE CALGARY,Renewal Licensed,WAREHOUSING,FOOTHILLS                               
MINI MARKET,#108 738 3 AV SW CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",EAU CLAIRE                              
MINI MELTS ALBERTA,#1 1313 44 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,MCCALL                                  
MINI MELTS ALBERTA,#1 1313 44 AV NE CALGARY,Renewal Licensed,FOOD SERVICE - NO PREMISES,MCCALL                                  
MINI SMOKE SHOP & COFFEE,700 CENTRE ST SE CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES (NO SEATING)",DOWNTOWN COMMERCIAL CORE                
MINI SUPERMARKET,4505 26 AV SE CALGARY,Pending Renewal,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",DOVER                                   
MINIATURE SCHOOL OF BALLET AND DANCE,#213 11625 ELBOW DR SW CALGARY,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),CANYON MEADOWS                          
