District Name,School Name,Organization Type,Organization Code,StreetLocation,Latitude,Longitude,Zipcode,Phone,,,,
New Canaan School District,Saxe Middle School,Public Schools,905111,"468 South Ave.
New Canaan, CT 06840
",41.13151565600003, -73.48738398399996,6840,203-594-4564,,,,
Unified School District #1,Brooklyn Correctional Institution,State Agency Facilities,3360215,"P.O. Box 297 Route 6
Brooklyn, CT 06234
",41.78553745100004, -71.93458703799996,6234,860-779-4546,,,,
Bridgeport School District,Harding High School,Public Schools,156311,"1734 Central Ave.
Bridgeport, CT 06610
",41.19058257300003, -73.16748552299998,6610,203-576-7330,,,,
Eastern Connecticut Regional Educational Service Center,Quinebaug Middle College,Regional Education Service Center Schools,2536114,"742 Upper Maple St.
Danielson, CT 06239
",41.82537133000005, -71.89374739399994,6239,860-455-0707,,,,
Portland School District,Brownstone Intermediate School,Public Schools,1130511,"314 Main St.
Portland, CT 06480
",41.57740639300005, -72.63732004499997,6480,860-342-6765,,,,
Shelton School District,Long Hill School,Public Schools,1260811,"565 Long Hill Ave.
Shelton, CT 06484
",41.28350065400008, -73.09837677599995,6484,203-929-4077,,,,
North Branford School District,North Branford High School,Public Schools,996111,"49 Caputo Rd.
North Branford, CT 06471
",41.33373386000005, -72.80276497999995,6471,203-484-1465,,,,
Oxford School District,Oxford High School,Public Schools,1086011,"61 Quaker Farm Rd.
Oxford, CT 06478
",41.38545685400004, -73.13335774699993,6478,203-888-2468,,,,
Waterbury School District,Regan School,Public Schools,1512811,"2780 North Main St.
Waterbury, CT 06704
",41.59261100900005, -73.02699819099996,6704,203-574-8187,,,,
Naugatuck School District,Naugatuck School District,Public School Districts,880011,"380 CHURCH STREET
NAUGATUCK, CT 06770
",41.495074172000045, -73.05407760199995,6770,203-720-5265,,,,
Hamden School District,Helen Street School,Public Schools,620411,"285 Helen St.
Hamden, CT 06514
",41.349637021000035, -72.94371174899999,6514,203-407-2030,,,,
East Haven School District,East Haven High School,Public Schools,446111,"35 Wheelbarrow Ln.
East Haven, CT 06513
",41.326127875000054, -72.83216471199995,6513,203-468-3254,,,,
Windsor School District,Windsor School District,Public School Districts,1640011,"601 MATIANUK AVENUE, BOX
Windsor, CT 06095
",41.824015607000035, -72.67305245699998,6095,860-687-2000,,,,
Bristol School District,Chippens Hill Middle School,Public Schools,175111,"551 Peacedale St.
Bristol, CT 06010
",41.70047661700005, -72.96601653599998,6010,860-584-3881,,,,
Plainfield School District,Plainfield School District,Public School Districts,1090011,"99 PUTNAM ROAD, BOX 705
Plainfield, CT 06374
",41.72909140500008, -71.90462386099995,6374,860-564-6403,,,,
Danbury School District,Mill Ridge Primary School,Public Schools,340511,"49A High Ridge Rd.
Danbury, CT 06811
",41.39101190200006, -73.48256836899998,6811,203-797-4781,,,,
South Windsor School District,Orchard Hill School,Public Schools,1320611,"350 Foster St.
South Windsor, CT 06074
",41.828866419000065, -72.52911959999994,6074,860-648-5015,,,,
Windsor School District,Oliver Ellsworth School,Public Schools,1640911,"730 Kennedy Ave.
Windsor, CT 06095
",41.88292775800005, -72.64260671199997,6095,860-687-2070,,,,
Meriden School District,Israel Putnam School,Public Schools,800411,"133 Parker Ave.
Meriden, CT 06450
",41.52908647700008, -72.79194125499998,6450,203-237-8493,,,,
Weston School District,Weston Intermediate School,Public Schools,1570211,"95 School Rd.
Weston, CT 06883
",41.20946592800004, -73.38075379399999,6883,203-291-2700,,,,
Unified School District #1,Bridgeport Correctional Center,State Agency Facilities,3360115,"1106 North Ave.
Bridgeport, CT 06604
",41.189901012000064, -73.19905696799998,6604,203-579-6131,,,,
Montville School District,Mohegan School,Public Schools,860111,"49 Golden Rd.
Uncasville, CT 06382
",41.47714276500005, -72.09483495499995,6382,860-848-9261,,,,
Thompson School District,Mary R. Fisher Elementary School,Public Schools,1410111,"785 Riverside Dr.
North Grosvenordale, CT 06255
",41.97557376200007, -71.90074934899997,6255,860-923-9142,,,,
New Hartford School District,New Hartford School District,Public School Districts,920011,"530 MAIN STREET, BOX 315
New Hartford, CT 06057
",41.87901026700007, -72.97988417999994,6057,860-379-8546,,,,
Stafford School District,Stafford High School,Public Schools,1346111,"145 Orcuttville Rd.
Stafford Springs, CT 06076
",41.97419972200004, -72.30889104799996,6076,860-684-4233,,,,
Windsor School District,Poquonock Elementary School,Public Schools,1640511,"1760 Poquonock Ave.
Windsor, CT 06095
",41.90404016800005, -72.67915592299994,6095,860-687-2080,,,,
Norwalk School District,Norwalk High School,Public Schools,1036111,"23 Calvin Murphy St.
Norwalk, CT 06851
",41.123173733000044, -73.38801162799996,6851,203-838-4481,,,,
Trumbull School District,Hillcrest Middle School,Public Schools,1445211,"530 Daniels Farm Rd.
Trumbull, CT 06611
",41.26305866000007, -73.19875744599995,6611,203-452-4466,,,,
Darien School District,Royle Elementary School,Public Schools,350511,"133 Mansfield Ave.
Darien, CT 06820
",41.08632219000003, -73.47301585799994,6820,203-655-0044,,,,
Ridgefield School District,East Ridge Middle School,Public Schools,1185111,"10 East Ridge Rd.
Ridgefield, CT 06877
",41.276613944000076, -73.49265141399997,6877,203-438-3744,,,,
Brooklyn School District,Brooklyn School District,Public School Districts,190011,"119 GORMAN ROAD
BROOKLYN, CT 06234
",41.785517998000046, -71.93456461299996,6234,860-774-9153,,,,
Danbury School District,Great Plain School,Public Schools,341111,"10 Stadley Rough Rd.
Danbury, CT 06811
",41.42014399300007, -73.43336814499997,6811,203-797-4749,,,,
Wethersfield School District,Wethersfield High School,Public Schools,1596111,"411 Wolcott Hill Rd.
Wethersfield, CT 06109
",41.707841108000025, -72.66869549599994,6109,860-571-8200,,,,
Killingly School District,Killingly Central School,Public Schools,690111,"60 Soap St.
Dayville, CT 06241
",41.84989671400007, -71.88531209499996,6241,860-779-6750,,,,
New Haven School District,Barnard Environmental Magnet School,Public Schools,930211,"170 Derby Ave.
New Haven, CT 06511
",41.310253181000064, -72.95201509199995,6511,203-691-3500,,,,
Brooklyn School District,Brooklyn Elementary School,Public Schools,190111,"119 Gorman Rd.
Brooklyn, CT 06234
",41.785517998000046, -71.93456461299996,6234,860-774-7577,,,,
Chaplin School District,Chaplin School District,Public School Districts,240011,"BOX 277, 304 PARISH HILL
Chaplin, CT 06235
",41.781896336000045, -72.12922590499994,6235,860-455-9306,,,,
Greenwich School District,Eastern Middle School,Public Schools,575211,"51 Hendrie Ave.
Riverside, CT 06878
",41.03352456700003, -73.58302442599995,6878,203-637-1744,,,,
Waterbury School District,Wilby High School,Public Schools,1516311,"568 Bucks Hill Rd.
Waterbury, CT 06704
",41.60616448500008, -73.02993656399997,6704,203-574-8100,,,,
Regional School District 16,Algonquin School,Regional Schools,2160312,"30 Coer Rd.
Prospect, CT 06712
",41.49730737600004, -72.97457175299996,6712,203-758-4408,,,,
Enfield School District,John F. Kennedy Middle School,Public Schools,495211,"155 Raffia Rd.
Enfield, CT 06082
",41.95723442700006, -72.56528924999998,6082,860-763-8855,,,,
Franklin School District,Franklin School District,Public School Districts,530011,"206 POND ROAD
North Franklin, CT 06254
",41.62974308300005, -72.12642543099997,6254,860-642-6113,,,,
East Haddam School District,East Haddam Elementary School,Public Schools,410111,"P.O. Box 425, Joe Williams Rd.
Moodus, CT 06469
",41.50767869400005, -72.44046733899995,6469,860-873-5076,,,,
Unified School District #1,Cheshire Correctional Institution,State Agency Facilities,3360315,"900 Highland Ave.
Cheshire, CT 06410
",41.52246572200005, -72.89674157999997,6410,203-250-2668,,,,
North Haven School District,North Haven High School,Public Schools,1016111,"221 Elm Street
North Haven, CT 06473
",41.37336826500007, -72.86430339999998,6473,203-239-1641,,,,
East Haven School District,East Haven School District,Public School Districts,440011,"HUDSON STREET
East Haven, CT 06513
",41.28521536100004, -72.86738889899993,6513,203-468-3261,,,,
Regional School District 14,Regional School District 14,Regional School Districts,2140012,"5 Minortown Road, PO Box 469
Woodbury, CT 06798
",41.557118037000066, -73.18843566599998,6798,203-263-4339,,,,
West Hartford School District,Webster Hill School,Public Schools,1551211,"125 Webster Hill Blvd.
West Hartford, CT 06117
",41.74394637000006, -72.74072965599998,6117,860-521-0320,,,,
New Britain School District,Smalley Academy,Public Schools,891211,"175 West St.
New Britain, CT 06051
",41.67759371000005, -72.77153780099997,6051,860-225-8647,,,,
Great Oaks Charter School District,Great Oaks Charter School,Public Charter Schools,2940113,"510 Barnum Ave.
Bridgeport, CT 06608
",41.187071796000055, -73.17936594699995,6608,203-464-3897,,,,
Capitol Region Education Council,Two Rivers Magnet Middle School,Regional Education Service Center Schools,2415014,"337 East River Dr.
East Hartford, CT 06108
",41.76024109900004, -72.65997968199997,6108,860-290-5320,,,,
Thompson School District,Thompson School District,Public School Districts,1410011,"785 RIVERSIDE DRIVE
North Grosvenor, CT 06255
",41.97557376200007, -71.90074934899997,6255,860-923-9581,,,,
Stratford School District,Bunnell High School,Public Schools,1386211,"1 Bulldog Blvd.
Stratford, CT 06614
",41.22585372900005, -73.13631559699996,6614,203-385-4250,,,,
Monroe School District,Fawn Hollow Elementary School,Public Schools,850511,"375 Fan Hill Rd.
Monroe, CT 06468
",41.34685572200004, -73.23120946799997,6468,203-452-2923,,,,
Hartford School District,Bulkeley High School Lower School,Public Schools,646111,"300 Wethersfield Avenue
Hartford, CT 06114
",41.74771374300008, -72.67345006599999,6114,860-695-1202,,,,
New Britain School District,Holmes School,Public Schools,890611,"2150 Stanley St.
New Britian, CT 06053
",41.70430094400007, -72.77575263599994,6053,860-223-8294,,,,
Cooperative Educational Services,Six-Six Magnet School,Regional Education Service Center Schools,2430114,"601 Pearl Harbor St.
Bridgeport, CT 06610
",41.204066897000075, -73.16029255199999,6610,203-330-6775,,,,
Newtown School District,Sandy Hook Elementary School,Public Schools,970211,"375 Fan Hill Rd.
Monroe, CT 06468
",41.34685572200004, -73.23120946799997,6468,203-426-7657,,,,
Stonington School District,Stonington BOE Pre-School,Public Schools,1370111,"49 North Stonington Rd
Old Mystic, CT 06372
",41.39129772200005, -71.96219954799994,6372,860-572-0506,,,,
Hartford School District,Great Path Academy Middle College High School at MCC,Public Schools,647911,"60 Bidwell Street, MS #20
Manchester, CT 06045
",41.76444852100008, -72.55462891899998,6045,860-521-3700,,,,
Danbury School District,Rogers Park Middle School,Public Schools,345211,"21 Memorial Dr.
Danbury, CT 06810
",41.38344080200005, -73.44130829899996,6810,203-797-4881,,,,
Waterbury School District,F. J. Kingsbury School,Public Schools,1511411,"220 Columbia Blvd.
Waterbury, CT 06710
",41.57171929900005, -73.04561671199997,6710,203-574-8172,,,,
East Hampton School District,East Hampton School District,Public School Districts,420011,"94 MAIN STREET
EAST HAMPTON, CT 06424
",41.57424567900006, -72.50203395199998,6424,860-365-4000,,,,
Groton School District,S. B. Butler School,Public Schools,590111,"155 Ocean View Ave.
Mystic, CT 06355
",41.34913213500005, -71.98244298299994,6355,860-572-5825,,,,
Regional School District 04,John Winthrop Middle School,Regional Schools,2045112,"P.O. Box 187
Deep River, CT 06417
",41.377167764000035, -72.44580735099998,6417,860-526-9546,,,,
Learn,Goodwin College Early Childhood Interdistrict Magnet School,Regional Education Service Center Schools,2450314,"29 Willowbrook Rd
East Hartford, CT 06118
",41.74505404900003, -72.63953009099998,6118,860-434-4800,,,,
Enfield School District,Enfield School District,Public School Districts,490011,"27 SHAKER ROAD
ENFIELD, CT 06082
",42.00262194600003, -72.56286717899997,6082,860-253-6500,,,,
New Milford School District,John Pettibone School,Public Schools,960711,"2 Pickett District Rd.
New Milford, CT 06776
",41.563435998000045, -73.41158656199997,6776,860-354-3218,,,,
Stonington School District,Stonington HS PreK,Public Schools,1370211,"176 South Broad St
Pawcatuck, CT 06379
",41.367243974000075, -71.86329769799994,6379,860-599-5781,,,,
Bozrah School District,Fields Memorial School,Public Schools,130111,"8 Bozrah St. Ext.
Bozrah, CT 06334
",41.56406822300005, -72.15439264899999,6334,860-887-2561,,,,
Montville School District,Oakdale School,Public Schools,860511,"30 Indiana Circle
Oakdale, CT 06370
",41.47019843700008, -72.19291738099997,6370,860-859-1800,,,,
Stamford School District,Dolan School,Public Schools,1355311,"51 Toms Rd.
Stamford, CT 06906
",41.07835761800004, -73.52430161699994,6906,203-977-4441,,,,
Torrington School District,Torrington School District,Public School Districts,1430011,"355 MIGEON AVENUE
TORRINGTON, CT 06790
",41.809789016000025, -73.13084571699994,6790,860-489-2327,,,,
Granby School District,Frank M. Kearns Primary School,Public Schools,560111,"5 Canton Rd.
Granby, CT 06035
",41.93691494300003, -72.79338549899995,6035,860-844-3044,,,,
Elm City College Preparatory School District,Elm City College Preparatory School,Public Charter Schools,2890113,"234 Greene St.
New Haven, CT 06511
",41.30561294200004, -72.91591179799997,6511,203-498-0702,,,,
Guilford School District,Guilford Lakes School,Public Schools,600211,"40 Maupas Rd.
Guilford, CT 06437
",41.351345855000034, -72.68961978199997,6437,203-453-5201,,,,
West Haven School District,Seth G. Haley School,Public Schools,1560411,"148 South St.
West Haven, CT 06516
",41.24243411300006, -72.97822292899997,6516,203-931-6810,,,,
Meriden School District,Hanover School,Public Schools,800311,"208 Main St.
Meriden, CT 06450
",41.535077003000026, -72.79607572899994,6450,203-235-6359,,,,
Fairfield School District,Roger Ludlowe Middle School,Public Schools,515311,"689 Unquowa Rd.
Fairfield, CT 06824
",41.14971596700008, -73.26172246899995,6824,203-255-8345,,,,
Wilton School District,Wilton-Westport Evening School,Public Schools,1610111,"131 School Rd
Wilton, CT 06897
",41.20395603600008, -73.43847199199996,6897,203-834-4960,,,,
Suffield School District,McAlister Intermediate School,Public Schools,1390311,"260 Mountain Road
Suffield, CT 06078
",41.98368420000003, -72.66168629099997,6078,860-668-3830,,,,
Milford School District,J. F. Kennedy School,Public Schools,841911,"404 West Ave.
Milford, CT 06460
",41.21488209600005, -73.09069428499998,6460,203-783-3568,,,,
Mansfield School District,Mansfield School District,Public School Districts,780011,"4 SOUTH EAGLEVILLE ROAD
STORRS, CT 06268
",41.80104876300004, -72.24123165399999,6268,860-429-3350,,,,
Naugatuck School District,Andrew Avenue School,Public Schools,880811,"140 Andrew Ave.
Naugatuck, CT 06770
",41.48352525400003, -73.06714763399998,6770,203-720-5221,,,,
Stamford School District,Julia A. Stark School,Public Schools,1351211,"398 Glenbrook Rd.
Stamford, CT 06906
",41.066697678000025, -73.52172857199997,6906,203-977-4583,,,,
Woodbridge School District,Woodbridge School District,Public School Districts,1670011,"40 BEECHER ROAD
Woodbridge, CT 06525
",41.33715703000007, -73.00768419299999,6525,203-387-6631,,,,
Rocky Hill School District,Rocky Hill High School,Public Schools,1196111,"50 Chapin Ave.
Rocky Hill, CT 06067
",41.66936821000007, -72.64501176799996,6067,860-258-7721,,,,
Vernon School District,Center Road School,Public Schools,1461411,"20 Center Rd.
Vernon, CT 06066
",41.83907405300005, -72.46691179599998,6066,860-870-6300,,,,
Norwalk School District,Columbus Magnet School,Public Schools,1030311,"46 Concord St.
Norwalk, CT 06854
",41.09348823100004, -73.42043954299999,6854,203-899-2840,,,,
Danbury School District,Danbury School District,Public School Districts,340011,"63 BEAVER BROOK ROAD
DANBURY, CT 06810
",41.40758873100003, -73.42638762199994,6810,203-797-4701,,,,
Danbury School District,Park Avenue School,Public Schools,340811,"82 Park Ave.
Danbury, CT 06810
",41.385536967000064, -73.46314817899997,6810,203-797-4763,,,,
Vernon School District,Lake Street School,Public Schools,1460111,"201 Lake St.
Vernon, CT 06066
",41.81107114900004, -72.46927235199996,6066,860-870-6085,,,,
Hartford School District,Fred D. Wish Museum School,Public Schools,642211,"350 Barbour Street
Hartford, CT 06120
",41.795071146000055, -72.67668657099995,6120,860-695-5600,,,,
Hartford School District,Betances STEM Magnet School,Public Schools,643811,"585 Wethersfield Avenue
Hartford, CT 06114
",41.73985956200005, -72.67188385999998,6114,860-695-2840,,,,
Learn,Connecticut River Academy,Regional Education Service Center Schools,2456014,"One Riverside Drive
East Hartford, CT 06118
",41.75004990200006, -72.64279689199998,6118,860-913-2032,,,,
Milford School District,Live Oaks School,Public Schools,841611,"575 Merwin Ave.
Milford, CT 06460
",41.23738633600004, -72.99640444499994,6460,203-783-3564,,,,
Wethersfield School District,Silas Deane Middle School,Public Schools,1595211,"551 Silas Deane Hwy.
Wethersfield, CT 06109
",41.71087967500006, -72.66316454399998,6109,860-571-8300,,,,
New Haven School District,Beecher School,Public Schools,930311,"100 Jewel Street
New Haven, CT 06511
",41.32562807200003, -72.95373679999994,6511,203-691-3800,,,,
Bristol School District,Mountain View School,Public Schools,171711,"71 Vera Rd.
Bristol, CT 06010
",41.69441319100008, -72.89874064399999,6010,860-584-7726,,,,
Weston School District,Weston High School,Public Schools,1576111,"115 School Rd.
Weston, CT 06883
",41.211517609000055, -73.38022029899997,6883,203-291-1602,,,,
Regional School District 17,Burr District Elementary School,Regional Schools,2170212,"P.O. Box 570
Higganum, CT 06441
",41.46004874400006, -72.57713948699995,6441,860-345-4584,,,,
Franklin School District,Franklin Elementary School,Public Schools,530111,"206 Pond Rd.
North Franklin, CT 06254
",41.62974308300005, -72.12642543099997,6254,860-642-7063,,,,
Regional School District 07,Regional School District 07,Regional School Districts,2070012,"PO Box 656
Winsted, CT 06098
",41.93109948000006, -73.07560720799995,6098,860-379-1084,,,,
Chaplin School District,Chaplin Elementary School,Public Schools,240211,"240 Palmer Rd.
Chaplin, CT 06235
",41.789502895000055, -72.14660175799997,6235,860-455-9593,,,,
Suffield School District,A. Ward Spaulding School,Public Schools,1390411,"945 Mountain Rd.
Suffield, CT 06078
",41.98525260100007, -72.68565096899994,6078,860-668-3826,,,,
Newington School District,Newington School District,Public School Districts,940011,"131 CEDAR STREET
NEWINGTON, CT 06111
",41.69738299800008, -72.72927440799998,6111,860-667-2000,,,,
Westport School District,Coleytown Middle School,Public Schools,1585311,"255 North Ave.
Westport, CT 06880
",41.179122654000025, -73.35001694999994,6880,203-341-1610,,,,
Griswold School District,Griswold Middle School,Public Schools,585111,"211 Slater Ave.
Griswold, CT 06351
",41.59812091300006, -71.97924645899997,6351,860-376-7630,,,,
Bridgeport School District,Interdistrict Discovery Magnet School,Public Schools,153711,"4510 Park Avenue
Bridgeport, CT 06606
",41.21531278800006, -73.23430779299997,6606,203-275-1801,,,,
Plymouth School District,Eli Terry Jr. Middle School,Public Schools,1115111,"21 North Main St.
Terryville, CT 06786
",41.67930545100006, -73.00932027499994,6786,860-314-2790,,,,
Shelton School District,Intermediate School,Public Schools,1265111,"675 Constitution Blvd. No.
Shelton, CT 06484
",41.31639621100004, -73.12056756199996,6484,203-926-2000,,,,
Middletown School District,Bielefield School,Public Schools,830211,"70 Maynard St.
Middletown, CT 06457
",41.54286495000008, -72.63285987899997,6457,860-347-4124,,,,
New Haven School District,John S. Martinez School,Public Schools,930811,"100 James St.
New Haven, CT 06513
",41.305604876000075, -72.90278615599993,6513,203-691-2000,,,,
Path Academy District,Path Academy,Public Charter Schools,2930113,"832-842 Main Street
Willimantic, CT 06226
",41.71233924300003, -72.21466865799994,6226,860-761-7341,,,,
Bolton School District,Bolton High School,Public Schools,126111,"72 Brandy St.
Bolton, CT 06043
",41.76184548200007, -72.42323635099996,6043,860-643-2768,,,,
Greenwich School District,Parkway School,Public Schools,571111,"141 Lower Cross Rd.
Greenwich, CT 06831
",41.11043829600004, -73.65327997699995,6831,203-869-7466,,,,
Wolcott School District,Wolcott High School,Public Schools,1666111,"457 Bound Line Rd.
Wolcott, CT 06716
",41.60652279400006, -72.97626582999999,6716,203-879-8164,,,,
Bridgeport Achievement First District,Achievement First Bridgeport Academy,Public Charter Schools,2850113,"655 Stillman St.
Bridgeport, CT 06608
",41.19238219400006, -73.17609173799997,6608,203-338-0593,,,,
Ansonia School District,Ansonia School District,Public School Districts,20011,"42 GROVE STREET
ANSONIA, CT 06401
",41.34202895200008, -73.08607873099999,6401,203-736-5095,,,,
East Haven School District,Deer Run School,Public Schools,440111,"311 Foxon Rd.
East Haven, CT 06512
",41.32457919700005, -72.83599677799998,6512,203-468-3324,,,,
Stafford School District,Stafford School District,Public School Districts,1340011,"263 East Street
Stafford Springs, CT 06076
",41.975657512000055, -72.29123812499995,6076,860-684-4211,,,,
Regional School District 15,Memorial Middle School,Regional Schools,2155212,"Memorial Dr.
Middlebury, CT 06762
",41.542598233000035, -73.09450473599998,6762,203-758-2496,,,,
Connecticut Technical High School System,Vinal Technical High School,CT Technical High Schools,9001816,"60 Daniels St.
Middletown, CT 06457
",41.52775288700008, -72.67327908799996,6457,860-344-7100,,,,
Regional School District 19,Regional School District 19,Regional School Districts,2190012,"1235 Storrs Road
Storrs, CT 06268
",41.80270040400006, -72.24239501099999,6268,860-487-1862,,,,
Bridgeport School District,Geraldine Johnson School,Public Schools,153211,"475 Lexington Avenue
Bridgeport, CT 06604
",41.18524885900007, -73.20241489299997,6604,203-275-2500,,,,
Wethersfield School District,Emerson-Williams School,Public Schools,1590211,"461 Wells Rd.
Wethersfield, CT 06109
",41.70219723100007, -72.67989567599994,6109,860-571-8360,,,,
Ellington School District,Windermere School,Public Schools,480611,"2 Abbott Rd.
Ellington, CT 06029
",41.86983401300006, -72.49909600299998,6029,860-896-2329,,,,
Litchfield School District,Litchfield High School,Public Schools,746111,"P.O. Box 110, 14 Plumb Hill Road
Litchfield, CT 06759
",41.75107721200004, -73.19627670099999,6759,860-567-7530,,,,
East Windsor School District,East Windsor School District,Public School Districts,470011,"74 SOUTH MAIN STREET
East Windsor, CT 06088
",41.90183505600004, -72.61086191999993,6088,860-623-3346,,,,
Granby School District,Granby Memorial High School,Public Schools,566111,"315 Salmon Brook St.
Granby, CT 06035
",41.95959394300007, -72.79073711999996,6035,860-844-3014,,,,
Regional School District 13,Coginchaug Regional High School,Regional Schools,2136112,"135 Pickett Ln.
Durham, CT 06422
",41.47624682600008, -72.67140904299998,6422,860-349-7215,,,,
Brass City Charter School District,Brass City Charter School,Public Charter Schools,2900113,"212 Chestnut Ave.
Waterbury, CT 06710
",41.565250072000026, -73.04972181899996,6710,203-527-5942,,,,
Stratford School District,Stratford High School,Public Schools,1386111,"45 North Parade
Stratford, CT 06615
",41.19669906900003, -73.13234851099998,6615,203-385-4230,,,,
Regional School District 15,Long Meadow Elementary School,Regional Schools,2150712,"65 North Benson Rd.
Middlebury, CT 06762
",41.502957335000076, -73.15224249399995,6762,203-758-1144,,,,
Hartford School District,University High of Science and Engineering,Public Schools,646711,"351 Mark Twain Drive
Hartford, CT 06112
",41.79215044700004, -72.70920621399995,6112,860-695-9020,,,,
Somers School District,Mabelle B. Avery Middle School,Public Schools,1295111,"47 Ninth District Rd.
Somers, CT 06071
",41.98110495100008, -72.46369063499998,6071,860-749-2270,,,,
Wallingford School District,Parker Farms School,Public Schools,1480311,"30 Parker Farms Rd.
Wallingford, CT 06492
",41.47628547100004, -72.83356999099993,6492,203-294-6200,,,,
New Haven School District,Hyde Leadership School,Public Schools,936811,"88 Bassett Road
North Haven, CT 06473
",41.397427393000044, -72.83821296899998,6473,203-497-7060,,,,
Tolland School District,Tolland Middle School,Public Schools,1425111,"One Falcon Way
Tolland, CT 06084
",41.87424174300003, -72.34958667799998,6084,860-870-6860,,,,
Plainfield School District,Plainfield Central School,Public Schools,1095111,"75 Canterbury Rd.
Plainfield, CT 06374
",41.68283909000007, -71.92885084199997,6374,860-564-6437,,,,
Wolcott School District,Wolcott School District,Public School Districts,1660011,"154 CENTER STREET
WOLCOTT, CT 06716
",41.60191414500008, -72.97630288799996,6716,203-879-8183,,,,
Danbury School District,Hayestown Avenue School,Public Schools,340211,"42 Tamarack Ave.
Danbury, CT 06811
",41.416223724000076, -73.45095714199994,6811,203-797-4771,,,,
Canterbury School District,Dr. Helen Baldwin Middle School,Public Schools,225111,"45 Westminster Rd.
Canterbury, CT 06331
",41.69773148100006, -71.97706932199998,6331,860-546-9421,,,,
Derby School District,Bradley School,Public Schools,370611,"155 David Humphreys Rd.
Derby, CT 06418
",41.31926500000003, -73.06409493299998,6418,203-736-5040,,,,
Middletown School District,Middletown High School,Public Schools,836211,"200 LaRosa Lane
Middletown, CT 06457
",41.57739608000003, -72.67859541699994,6457,860-704-4500,,,,
Milford School District,Jonathan Law High School,Public Schools,846211,"20 Lansdale Ave.
Milford, CT 06460
",41.203799923000076, -73.08771866899997,6460,203-783-3574,,,,
Glastonbury School District,Nayaug Elementary School,Public Schools,540911,"222 Old Maide Ln.
South Glastonbury, CT 06073
",41.63778287000008, -72.62149055799995,6073,860-652-4949,,,,
Portland School District,Portland School District,Public School Districts,1130011,"PO BOX 231, 264 MAIN STRE
Portland, CT 06480
",41.58537608300003, -72.61623584599994,6480,860-342-6790,,,,
East Hartford School District,Robert J. O'Brien School,Public Schools,431811,"52 Farm Dr.
East Hartford, CT 06108
",41.792780709000056, -72.61030916299995,6108,860-622-5760,,,,
East Windsor School District,Broad Brook Elementary School,Public Schools,470111,"14 Rye St.
East Windsor, CT 06016
",41.91039266200005, -72.54597287399997,6016,860-623-2433,,,,
Department of Mental Health and Addiction Services,River Valley Services,State Agency Facilities,3370815,"P.O. Box 351, Leak Hall
Middletown, CT 06457
",41.557029267000075, -72.66636851999993,6457,860-262-7009,,,,
Colchester School District,Jack Jackter Intermediate School,Public Schools,280211,"215 Halls Hill Rd.
Colchester, CT 06415
",41.57116931000007, -72.32176233599995,6415,860-537-9421,,,,
Unified School District #1,Enfield Correctional Institution,State Agency Facilities,3360415,"P.O. Box 1500
Enfield, CT 06083
",41.99431931000004, -72.57229915099998,6083,860-763-7339,,,,
Trumbull School District,Tashua School,Public Schools,1440911,"401 Stonehouse Rd.
Trumbull, CT 06611
",41.27552022500004, -73.24263975899999,6611,203-452-4433,,,,
Bridgeport School District,High Horizons Magnet School,Public Schools,154511,"700 Palisade Ave.
Bridgeport, CT 06610
",41.202485773000035, -73.16534153999999,6610,203-576-7807,,,,
Simsbury School District,Squadron Line School,Public Schools,1280711,"44 Squadron Line Rd.
Simsbury, CT 06070
",41.90113867900004, -72.80676794399994,6070,860-658-2251,,,,
Regional School District 06,Regional School District 06,Regional School Districts,2060012,"98 WAMOGO Road
Litchfield, CT 06759
",41.72701555000003, -73.22465889199998,6759,860-567-7400,,,,
Manchester School District,Bowers School,Public Schools,770111,"141 Princeton St.
Manchester, CT 06042
",41.78865639300005, -72.51129495299995,6042,860-647-3313,,,,
Plainfield School District,Moosup Elementary School,Public Schools,1090111,"35 Church St.
Moosup, CT 06354
",41.717145783000035, -71.87971776699999,6354,860-564-6430,,,,
Oxford School District,Oxford School District,Public School Districts,1080011,"1 Great Hill Road
Oxford, CT 06478
",41.40432868700003, -73.09223242499996,6478,203-888-7754,,,,
West Haven School District,West Haven School District,Public School Districts,1560011,"25 OGDEN STREET
WEST HAVEN, CT 06516
",41.28943988000003, -72.97297526799997,6516,203-937-4300,,,,
New Fairfield School District,New Fairfield Middle School,Public Schools,915211,"56 Gillotti Rd.
New Fairfield, CT 06812
",41.46120465200005, -73.49839511899995,6812,203-312-5885,,,,
Woodstock School District,Woodstock School District,Public School Districts,1690011,"147 A Route 169
Woodstock, CT 06281
",41.92809051000006, -71.95672688899998,6281,860-928-7453,,,,
Ledyard School District,Ledyard School District,Public School Districts,720011,"4 BLONDER BOULEVARD
LEDYARD, CT 06339
",41.43924358100003, -72.00436557499995,6339,860-464-9255,,,,
Killingly School District,Killingly Memorial School,Public Schools,690311,"339 Main St.
Danielson, CT 06239
",41.80927193700006, -71.87910279499994,6239,860-779-6680,,,,
West Haven School District,Edith E. Mackrille School,Public Schools,1560611,"806 Jones Hill Rd.
West Haven, CT 06516
",41.25957582700005, -72.96635523899994,6516,203-931-6820,,,,
Windsor School District,John F. Kennedy School,Public Schools,1640811,"530 Park Ave.
Windsor, CT 06095
",41.83626498900003, -72.67596315199995,6095,860-687-2060,,,,
