nombre comercial,direccion,código postal,zona,teléfono,fax,email,web,contacto,sector,actividad1,actividad2,lat,lon
"ESTUDIO ARQUITECTURA UNO:UNO","PZ CONCORDIA (DE LA) 1 - LOCAL","28100","Z.C. CONSTITUCION","912140763 / 610567100","912509055","chechu-cabos@hotmail.com","NO DISPONIBLE","JOSE VICENTE CABAS ALONSO","SERVICIOS","ESTUDIO DE ARQUITECTURA","",40.54526148,-3.64038270
"ESTUDIO ICARA","PS VALDELASFUENTES (DE) 9","28100","VALDELASFUENTES","619530097 / 911105537","NO DISPONIBLE","jlhm07@gmail.com","NO DISPONIBLE","JOSE LUIS HERRERO","HOGAR","MUEBLES DE COCINA","",40.55126463,-3.65392793
"EULEN FLEXIPLAN","PS CHOPERA (DE LA) 2 - LOCAL 1","28100","EJE CHOPERA","914902904","916611149","pfreire.flexiplan@eulen.com","www.eulenflexiplan.com","JOAQUINA CONTRETAS JIMENEZ","VARIOS","ETT CONSULTORIA","",40.53942217,-3.63977535
"EUROALCOBENDAS","CL JARAMA (DEL) 18 - LOCAL","28100","Z.C. CONSTITUCION","911253773 / 670888015","916529857","euroalcobendas@hotmail.com","www.euroalcobendas.es","FRANCISCO BENITO SANZ / CORINA ALINA PAVEL","SERVICIOS","SERVICIOS INMOBILIARIOS","",40.54459141,-3.63845999
"EUROAMYKASA, S.A.","CL CALENDULA (DE LA) 95","28109","OTRAS ZONAS","916585201- 916585220","916585251","deptecnico@euroamykasa.com","http://www.euroamykasa.com/","TEO GALÁN","HOGAR","DECORACION Y DISEÑO DE INTERIORES","",40.52790818,-3.64402309
"EUROCLINIC ALCOBENDAS","CL MEQUINENZA (DE) 10 - BAJO A Y B","28100","OTRAS ZONAS","916539474","916539474","euroclinic@euroclinicalcobendas.com","www.euroclinicalcobendas.com","AMPARO FLORES","SALUD Y BELLEZA","CLINICA DE MEDICINA ESTETICA. CONSULTA DE PODOLOGIA, TRATAMIENTO DE LA OBESIDAD Y SOBREPESO","",40.54639348,-3.63727377
"EUROCONSUMIBLES","CL PINTOR ROSALES (DEL) 9","28100","OTRAS ZONAS","916616318 / 916616446","916612745","NO DISPONIBLE","NO DISPONIBLE","JORGE GUTIERREZ","VARIOS","COMERCIO DE ARTICULOS DE OFICINA Y CONSUMIBLES","",40.53815749,-3.63960015
"EVEREST","CL MARIANO SEBASTIAN IZUEL ( 5","28100","OTRAS ZONAS","916521870","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE RAMON LOPEZ  DELGADO","HOSTELERIA / OCIO","HELADERIA","",40.54109664,-3.63113089
"EVOLUTION MADRID","PS CHOPERA (DE LA) 107","28100","EJE CHOPERA","910254043","NO DISPONIBLE","info@evolutionmadridnorte.com","NO DISPONIBLE","SERGIO MATESANZ","HOSTELERIA / OCIO","JUEGOS DE MESA. COMICS, LIBROS","",40.54465090,-3.65013992
"EXCLUSIVAS MARAL E.T.T.","AV ESPAÑA (DE) 32 - POSTERIOR","28100","EJE VALDAVIA ESPAÑA","916586497 / 661516356","916587445","alberto@exclusivasmaral.com","www.exclusivasmaral.com","ALBERTO GOMEZ","VARIOS","EMPRESA DE TRABAJO TEMPORAL","",40.54642397,-3.64171512
"EXPENDEDURIA DE TABACOS Nº4","CL ISLAS BIKINI (DE LAS) 9","28100","EJE VALDAVIA ESPAÑA","916613686 / 696790868","NO DISPONIBLE","estancoalmendros@eresmas.com","NO DISPONIBLE","SANTOS ALMENDROS","HOSTELERIA / OCIO","EXPENDEDURIA DE TABACOS Y TIMBRE","",40.54220408,-3.63942417
"EXPENDIDURIA ALCOBENDAS 2","CL MARQUESA VIUDA DE ALDAMA 19","28100","LAS TIENDAS DEL CENTRO","916516066","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","HOSTELERIA / OCIO","TABACO Y TIMBRE","",40.54160986,-3.63160290
"EXPENDIDURIA DE TABACO  ALCOBENDAS 3","PZ FELIPE ALVAREZ GADEA (DE) 8","28100","OTRAS ZONAS","916535980 / 655371943","916535980","emigonzas@hotmail.com","NO DISPONIBLE","EMILIANA GONZALEZ SANCHEZ","HOSTELERIA / OCIO","VENTA DE TABACO","",40.54096529,-3.63274967
"EXPENDIDURIA Nº 8","CL VALDEPALITOS (DE) - S/N","28100","OTRAS ZONAS","916513623","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","SÁNCHEZ CID CEBEIRA,  JOSÉ RAMÓN","HOSTELERIA / OCIO","EXPENDIDURIA DE TABACOS","",40.54765773,-3.64649643
"EXPOSERVICIO","CL PABLO PICASSO (DE) 69","28100","Z.C. CONSTITUCION","916524745","916526217","NO DISPONIBLE","NO DISPONIBLE","Mª DEL SAGRARIO LOPEZ VAZQUEZ","HOGAR","MUEBLES DE COCINA Y ELECTRODOMESTICOS","",40.54298248,-3.63835771
"EXPRESS ASISTENCIA","CL MANUEL DE FALLA (DE) 12 - 1º 2","28100","OTRAS ZONAS","916588273","916638677","express@expressasistencia.com","NO DISPONIBLE","JOSE PAREDES GRACIA","SERVICIOS","EMPRESA DE REPARACIONES","",40.54895171,-3.64845751
"FAN VIAJES","CL RUPERTO CHAPI (DE) 13","28100","EJE VALDAVIA ESPAÑA","913091173   /   649735741","NO DISPONIBLE","emyberu@yahoo.es","NO DISPONIBLE","EMILIA BENITEZ RUBIO","SERVICIOS","AGENCIA DE VIAJES","",40.54804498,-3.64486705
"FARMA GIL","CL MARQUESA VIUDA DE ALDAMA 10","28100","LAS TIENDAS DEL CENTRO","916521104","916546438","NO DISPONIBLE","NO DISPONIBLE","VIRGINIA GIL ORTEGA","SALUD Y BELLEZA","FARMACIA, FORMULACION MAGISTRAL, COSMETICA","",40.54113513,-3.63300781
"FARMACIA  C. SERRANO","CL FLOR (DE LA) 2","28100","LAS TIENDAS DEL CENTRO","916513535","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","CONCEPCION SERRANO","SALUD Y BELLEZA","FARMACIA","",40.54009058,-3.63470798
"FARMACIA "LA VEGA"","AV OLIMPICA 26 - 10","28108","OTRAS ZONAS","916623319","916626016","ofertafarmacia@hotmail.com","NO DISPONIBLE","Mª LUISA CARRILLO DE ALBORNOZ PIQUER","SALUD Y BELLEZA","FARMACIA","",40.53591079,-3.63548028
"FARMACIA (PARAMO AGUADO, ENCARNACION)","CL LIBERTAD (DE LA) 47","28100","LAS TIENDAS DEL CENTRO","916620968","916620968","NO DISPONIBLE","NO DISPONIBLE","ENCARNACION PARAMO","SALUD Y BELLEZA","FARMACIA","",40.53931391,-3.63623068
"FARMACIA CLARA RESINES","CL JARAMA (DEL) 30","28100","Z.C. CONSTITUCION","916510014","916510014","clararesines@hotmail.com","NO DISPONIBLE","CLARA RESINES","SALUD Y BELLEZA","FARMACIA, ORTOPEDIA, PARAFARMACIA. FORMULAS MAGISTRALES. ABIERTA 12 HORAS","",40.54538880,-3.63677811
"FARMACIA FANTASIA","CL FANTASIA (DE LA) 8","28100","OTRAS ZONAS","686971033","NO DISPONIBLE","farmaciacosano@gmail.com","NO DISPONIBLE","JOSE MARIA COSANO CORDON","SALUD Y BELLEZA","FARMACIA","",40.55281280,-3.65937647
"FARMACIA FUSTER","CL MANUEL DE FALLA (DE) 67","28100","OTRAS ZONAS","916639923","912292777","m.fuster.000.@recol.es","NO DISPONIBLE","MIGUEL ANGEL GONZALEZ FUSTER","SALUD Y BELLEZA","FARMACIA, ORTOPEDIA, HOMEOPATIA, PARAFARMACIA, DIETETICA, FORMULACION MAGISTRAL.","",40.55304402,-3.64222124
"FARMACIA JOSE MIGUEL GARCIA","PS CHOPERA (DE LA) 156","28100","EJE CHOPERA","916620755","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE MIGUEL GARCIA","SALUD Y BELLEZA","FARMACIA","",40.54550528,-3.65638041
"FARMACIA LA MENINA","PS CHOPERA (DE LA) 28","28100","EJE CHOPERA","916611425","916616323","farmacialamenina@hotmail.com","NO DISPONIBLE","HELENA RODERO TORRES","SALUD Y BELLEZA","FARMACIA (COSMÉTICA, HOMEOPATÍA)","",40.53850644,-3.63809080
"FARMACIA LDA. ESPERANZA LOPEZ","CL MIRAFLORES (DE) 15","28100","EJE VALDAVIA ESPAÑA","916511886","916511886","NO DISPONIBLE","NO DISPONIBLE","ESPERANZA LOPEZ","SALUD Y BELLEZA","FARMACIA","",40.54367338,-3.63776578
"FARMACIA LDA. LAURA MARTINEZ GAITE","CL CONSTITUCION (DE LA) 121 - ESQUINA RUPERTO CHAPI","28100","Z.C. CONSTITUCION","916526844","916526844","NO DISPONIBLE","NO DISPONIBLE","MARTINEZ GAITE LAURA","SALUD Y BELLEZA","FARMACIA","",40.54713750,-3.64544053
"FARMACIA LDO. ANGEL CABALLERO AGUADO","CL CONSTITUCION (DE LA) 42","28100","Z.C. CONSTITUCION","916523305","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANGEL AGUADO","SALUD Y BELLEZA","FARMACIA","",40.54276536,-3.63690446
"FARMACIA LDO.IGNACIO LUACES FRADES","CL MARQUES DE LA VALDAVIA (D 131","28100","EJE VALDAVIA ESPAÑA","916625136","916617436","farma@visionfarma.com","NO DISPONIBLE","IGNACIO LUACES FRADE","SALUD Y BELLEZA","FARMACIA, ORTOPEDIA, AUDIFONOS, OPTICA, PARAFARMACIA, NUTRICION Y DIETETICA","",40.54712339,-3.65766289
"FARMACIA Mª JESUS CAMPOS","CL CONSTITUCION (DE LA) 104","28100","Z.C. CONSTITUCION","916533495 / 669927022","916533495","mjcampos6@hotmail.com","NO DISPONIBLE","Mª JESUS CAMPOS","SALUD Y BELLEZA","FARMACIA","",40.54677117,-3.64428498
"FARMACIA MARIA LUZ PEREZ","CL SANTIAGO APOSTOL (DE) 17","28100","LAS TIENDAS DEL CENTRO","916511166 / 600490938","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MARIA LUZ PEREZ","SALUD Y BELLEZA","FARMACIA","",40.54329308,-3.63208953
"FARMACIA MARIA PILAR","CL CONCILIO (DEL) 5","28100","OTRAS ZONAS","916517112","916517112","farmaciatorroja@gmail.com","NO DISPONIBLE","Mª PILAR TORROJA BENDITO","SALUD Y BELLEZA","FARMACIA","",40.54363535,-3.63587854
"FARMACIA MARIANO GARCIA REVILLA","CL ARCE (DEL) 6","28100","EJE VALDAVIA ESPAÑA","916529329","NO DISPONIBLE","mgarciarevilla@gmail.com","NO DISPONIBLE","MARIANO GARCIA REVILLA","SALUD Y BELLEZA","FARMACIA","",40.54587148,-3.64135151
"FARMACIA MERCEDES LOPEZ","CL CONSTITUCION (DE LA) 82","28100","Z.C. CONSTITUCION","916524904","NO DISPONIBLE","mercedesfarma@yahoo.es","NO DISPONIBLE","MERCEDES LOPEZ","SALUD Y BELLEZA","FARMACIA","",40.54453753,-3.64030398
"FARMACIA ORTOPEDIA CENTRO AUDITIVO","AV ESPAÑA (DE) 18 - C/V CONSTITUCION, 96","28100","EJE VALDAVIA ESPAÑA","916521398 / 619217499","916638949","isabelcaballerogomez@hotmail.com","NO DISPONIBLE","ISABEL CABALLERO GOMEZ","SALUD Y BELLEZA","FARMACIA, ORTOPEDIA, CENTRO AUDITIVO","",40.54579648,-3.64231253
"FARMACIA SERRANO SANCHEZ","CL MARQUES DE LA VALDAVIA (D 65","28100","EJE VALDAVIA ESPAÑA","916611509","916611509","carmenlopezserrano@gmail.com","NO DISPONIBLE","NO DISPONIBLE","SALUD Y BELLEZA","FARMACIA","",40.54423212,-3.64243285
"FARMACIA SONIA GARCIA AGUADO","CL MARQUES DE LA VALDAVIA (D 41","28100","EJE VALDAVIA ESPAÑA","916611300","916611959","NO DISPONIBLE","NO DISPONIBLE","SONIA GARCIA","SALUD Y BELLEZA","FARMACIA, OPTICA, ORTOPEDIA (ANALISIS CLINICOS)","",40.54283416,-3.63939746
"FARMACIA VELEZ CASTILLO","AV VEGA (DE LA) 1 LOCAL 5","28100","OTRAS ZONAS","914901950","914901950","farmaciavelez@hotmail.es","NO DISPONIBLE","PILAR VELEZ GARCIA-NIETO","SALUD Y BELLEZA","FARMACIA","",40.52433701,-3.63873734
"FARMACIA, OPTICA Y ORTOPEDIA","PS CHOPERA (DE LA) 71","28100","EJE CHOPERA","914840080","NO DISPONIBLE","a.garcia@cofm.es","NO DISPONIBLE","OLGA GARCIA AGUADO","SALUD Y BELLEZA","FARMACIA, OPTICA Y ORTOPEDIA","",40.54363909,-3.64527866
"FASHION FEED","AV ESPAÑA (DE) 2","28100","EJE VALDAVIA ESPAÑA","680596112","NO DISPONIBLE","davidpcollantes@hotmail.com","NO DISPONIBLE","NO DISPONIBLE","MODA Y COMPLEMENTOS","ZAPATERIA","",40.54373142,-3.64378805
"FC CENTRO FOTOGRAFICO","CL QUEVEDO (DE) 20","28100","EJE VALDAVIA ESPAÑA","916624420 / 639486080","NO DISPONIBLE","fclaboratorio@telefonica.net","NO DISPONIBLE","ANTONIO PEREZ-MONTE MUÑOZ","HOSTELERIA / OCIO","FOTOGRAFIA","",40.54215553,-3.64115678
"FE JOYEROS","CL PABLO SERRANO (DE) 2","28100","EJE CHOPERA","916611154","916611154","fejoyeros@gmail.com","NO DISPONIBLE","JOSE MANUEL FE","MODA Y COMPLEMENTOS","TALLER DE JOYERIA. COMPOSTURAS Y REFORMAS DE JOYERIA","",40.53775011,-3.63814733
"FEDRA","CL CONSTITUCION (DE LA) 15","28100","Z.C. CONSTITUCION","916522114 / 619700594","NO DISPONIBLE","maria-aguado@movistar.es","NO DISPONIBLE","MARIA AGUADO","MODA Y COMPLEMENTOS","ROPA Y COMPLEMENTOS","",40.54180324,-3.63489027
"FELIX SANZ GARCIA","CL CONSTITUCION (DE LA) 45 - PUESTO 42","28100","Z.C. CONSTITUCION","677577755","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FELIX SANZ GARCIA","ALIMENTACION","FRUTERIA","",40.54272196,-3.63712636
"FERRETERIA ALCOBENDAS","CL MARQUES DE LA VALDAVIA (D 46","28100","EJE VALDAVIA ESPAÑA","916529220 / 916543784","NO DISPONIBLE","feralcobendas@yahoo.es","NO DISPONIBLE","MANUEL CRUZ CONTRERAS","HOGAR","FERRETERIA","",40.54273239,-3.63862771
"FERRETERIA ALCOBENDAS","CL MARQUES DE LA VALDAVIA (D 46","28100","EJE VALDAVIA ESPAÑA","916529220","916543784","feralcobendas@yahoo.es","NO DISPONIBLE","MANUEL CRUZ CONTRERAS","HOGAR","FERRETERIA, SUMINISTROS INDUSTRIALES","",40.54273239,-3.63862771
"FERRETERIA ALCOFERR","CL CONSTITUCION (DE LA) 90","28100","Z.C. CONSTITUCION","916531240","916546108","alcofer@terra.es","NO DISPONIBLE","CARLOS  O PEDRO","HOGAR","FERRETERIA","",40.54520390,-3.64135996
"FERRETERIA ANGEL RAMIREZ","CL LIBERTAD (DE LA) 10","28100","LAS TIENDAS DEL CENTRO","902430243","916636029","ramirezaguado@auna.com","NO DISPONIBLE","FCO. JAVIER RAMIREZ AGUADO","HOGAR","FERRETERIA","",40.54022139,-3.63515279
"FERRETERIA ANTA","CL RUPERTO CHAPI (DE) 14","28100","EJE VALDAVIA ESPAÑA","916523962","916523962","NO DISPONIBLE","NO DISPONIBLE","JOSE GARCIA ANTA","HOGAR","FERRETERIA","",40.54776290,-3.64478962
"FERRETERIA CASTRILLO","PS VALDELASFUENTES (DE) 9","28100","VALDELASFUENTES","912939964","NO DISPONIBLE","antoniocastrillo@live.com","NO DISPONIBLE","ANTONIO RODRIGUEZ VAQUERIZO","HOGAR","FERRETERIA","",40.55126463,-3.65392793
"FERRETERIA E INSTALACIONES BLAZQUEZ","CL SANTIAGO APOSTOL (DE) 9","28100","LAS TIENDAS DEL CENTRO","916520774","NO DISPONIBLE","blazquez-sp@yahoo.es","NO DISPONIBLE","ANTONIO BLAZQUEZ","HOGAR","FERRETERIA Y MENAJE. ELECTRICIDAD","",40.54293047,-3.63149790
"FERRETERIA FEINER,S.L","CL MANUEL DE FALLA (DE) 48","28100","OTRAS ZONAS","916638948","916514890","eurofer@telefonica.net","NO DISPONIBLE","ISAAC BORLAF FERNANDEZ","HOGAR","FERRETERIA","",40.55212205,-3.64323995
"FERRETERIA HERMANOS PEÑA","AV MADRID (DE) 57","28100","OTRAS ZONAS","916518020","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FRANCISCO JAVIER PEÑA PEÑA","HOGAR","FERRETERIA, ELECTRICIDAD, MENAJE, COPIAS DE LLAVES, BUZONES, HERRAMIENTAS ELECTRICAS, BRICOLAJE","",40.55200185,-3.63997340
"FERRETERIA LA CHOPERA","PS CHOPERA (DE LA) 134","28100","EJE CHOPERA","916610006 / 647224069","914901110","antoniogarciaanta@hotmail.com","NO DISPONIBLE","ANTONIO GARCIA","HOGAR","FERRETERIA, LLAVES, MENAJE","",40.54508746,-3.65320363
"FERRETERIA PINOS- ELECTRICIDAD","CL MARQUESA VIUDA DE ALDAMA 78","28100","LAS TIENDAS DEL CENTRO","916520453 / 649927763","916549725","gpinos@cadena88.com","www.cadena88.com","JOAQUIN GARCIA GOMEZ","HOGAR","FERRETERIA Y MENAJE. ELECTRICIDAD","",40.54365990,-3.62914930
"FERRETERIA SANGAR","PS CHOPERA (DE LA) 190","28100","EJE CHOPERA","914841155 / 660419808","914841758","fsangar@cadena88.com","NO DISPONIBLE","PILAR JIMENEZ DIAZ","HOGAR","FERRETERIA, BRICOLAGE, HERRAMIENTAS,MAQUINARIA, ELECTRICIDAD, MENAJE, JARDINERIA","",40.54528140,-3.65792661
"FIESTON","CL IMAGINACION (DE LA) 13 - ENTRADA POR Pº DE FUENTELUCHA","28100","OTRAS ZONAS","618050819","NO DISPONIBLE","cgimenez@fiest-con.es","NO DISPONIBLE","CRISTINA GIMENEZ","HOSTELERIA / OCIO","ALQUILER PARA FIESTAS Y EVENTOS","",40.54104188,-3.63240185
"FISIO SALUD","PS CHOPERA (DE LA) 36","28100","EJE CHOPERA","916621201 / 902075055","916621201","alcobendas@fisioweb.com","www.fisioweb.com","ALBERTO MARQUINA RODRIGUEZ","SALUD Y BELLEZA","FISIOTERAPIA Y REHABILITACION","",40.53903700,-3.63839798
"FISIOTERAPIA ALCOBENDAS","CL CONSTITUCION (DE LA) 115 - BAJO 1","28100","Z.C. CONSTITUCION","916238440","NO DISPONIBLE","info@fisioterapia-alcobendas.com","www.fisioterapia-alcobendas.com","MARC VAN ZUILEN","SALUD Y BELLEZA","FISIOTERAPIA","",40.54638851,-3.64441807
"FLORISTERIA BONSAI","CL CONSTITUCION (DE LA) 104","28100","Z.C. CONSTITUCION","916513478 / 645997214","NO DISPONIBLE","floristeriabonsai@hotmail.com","www.floresbonsai.com","FLORENCIO PEREZ PEREZ","VARIOS","FLORISTERIA","",40.54677117,-3.64428498
"FLORISTERIA FLORES BLANCAS","CL MARQUES DE LA VALDAVIA (D 25","28100","EJE VALDAVIA ESPAÑA","912931171","NO DISPONIBLE","bjustinianoe@gmail.com","www.flores-blancas.es","BLANCA JUSTINIANO EGUEZ","VARIOS","PLANTAS, FLORES Y ADORNOS","",40.54184240,-3.63803061
"FOGARA","CL PALESTINA (DE) 8","28100","VALDELASFUENTES","628233271","NO DISPONIBLE","fogara@hotmail.es","NO DISPONIBLE","NIKI MENESELLO","HOSTELERIA / OCIO","RESTAURANTE- PIZZERIA","",40.55096501,-3.65270363
"FOGESA","CL ISAAC ALBENIZ (DE) 58","28100","OTRAS ZONAS","916539430","916545336","arco01@terra.com","www.grupofogesa.com","VENECIA CARRASCO MUÑOZ","SERVICIOS","COOPERATIVA DE VIVIENDAS","",40.55134519,-3.64490904
"FONTACASA","AV MADRID (DE) 21 - LOCAL 4","28100","OTRAS ZONAS","916524446","916542825","fonta@anavis.es","NO DISPONIBLE","FLORENCIO A. GONZALO MARTINEZ","CONSTRUCCION Y REFORMA","FONTANERIA, REFORMAS, CALEFACCION","",40.55056836,-3.63870772
"FORSEL GRUPO NORTE ETT","CL RUPERTO CHAPI (DE) 55 - LOCAL C-1","28100","EJE VALDAVIA ESPAÑA","916592109","916512703","alcobendas.ett@grupo-norte.es","www.grupo-norte.es","SANDRA SANCHEZ","VARIOS","EMPRESA DE TRABAJO TEMPORAL","",40.54857340,-3.64009826
"FORUMLEX CONSULTING EMPRESARIAL","CL RUPERTO CHAPI (DE) 5","28100","EJE VALDAVIA ESPAÑA","916590115","916512668","NO DISPONIBLE","NO DISPONIBLE","AGUEDA CHAMORRO DE MARCOS","SERVICIOS","ASESORIA-ABOGADOS","",40.54700290,-3.64621925
"FOTO ALLI","PS CHOPERA (DE LA) 97","28100","EJE CHOPERA","916625286","NO DISPONIBLE","fotoalli97@ono.com","NO DISPONIBLE","RAFAEL SANTOS","HOSTELERIA / OCIO","FOTOGRAFIA , ESTUDIO FOTOGRAFICO","",40.54432148,-3.64744950
"FOTO MARGEN","CL JARAMA (DEL) 11","28100","Z.C. CONSTITUCION","916512844","916514592","NO DISPONIBLE","NO DISPONIBLE","GEMA FERNANDEZ","HOSTELERIA / OCIO","FOTOGRAFIA","",40.54462285,-3.63876043
"FOTO MARGEN","CL MARQUESA VIUDA DE ALDAMA 25","28100","LAS TIENDAS DEL CENTRO","916522577","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","BEATRIZ","HOSTELERIA / OCIO","FOTOGRAFIA","",40.54174869,-3.63145871
"FOTOCLICK","CL OLIVAR (DEL) 14","28100","EJE VALDAVIA ESPAÑA","916521748","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ESTHER CASAMAYOR","HOSTELERIA / OCIO","FOTOGRAFIA","",40.54864515,-3.64868100
"FOTOFUN","CL PINTOR VELAZQUEZ (DEL) 12","28100","OTRAS ZONAS","630123860","NO DISPONIBLE","alberto.viedma@gmail.com","NO DISPONIBLE","ABSTENCION DEL MONTE ABRIL","HOSTELERIA / OCIO","FOTOGRAFIA","",40.53883654,-3.64102621
"FRANCISCO ROMAN ROMAN","CL MARQUES DE LA VALDAVIA (D 90 - (GALERIA ESPAÑA) PUESTO 11","28100","EJE VALDAVIA ESPAÑA","916530037","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FRANCISCO ROMAN ROMAN","ALIMENTACION","CARNICERIA","",40.54527651,-3.64367600
"FRAPIMAR","CL BARCELONA (DE) 5 - LOCAL DERECHO","28100","OTRAS ZONAS","916521414","NO DISPONIBLE","correo@frapimar.com","www.frapimar.com","JUAN FRANCISCO MARTIN LOPEZ","CONSTRUCCION Y REFORMA","INSTALACIONES ELECTRICAS, DE BOMBEO, DE PRESION, DE RIEGO AUTOMATICO","",40.54129227,-3.62968999
"FREMAP, MUTUA DE ACCIDENTES DE TRABAJO","CL JAEN (DE) 83 - ESQUINA AVDA. MADRID","28100","OTRAS ZONAS","916548700","916549337","antonio-ramos@fremap.es","www.fremap.es","ANTONIO RAMOS","SERVICIOS","MUTUA DE ACCIDENTES DE TRABAJO","",40.55112380,-3.63982757
"FRUTAS MASANZ","CL CONSTITUCION (DE LA) 95 - PUESTO 53","28100","Z.C. CONSTITUCION","912414333","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","ANTONIO SERRANO MARTINEZ,","ALIMENTACION","FRUTERIA","",40.54490115,-3.64177509
"FRUTAS VARELA","CL MANUEL SERRANO FRUTOS (DE 6","28100","Z.C. CONSTITUCION","916638757","NO DISPONIBLE","fol212@yahoo.es","NO DISPONIBLE","VICENTE SERRANO FRUTOS","ALIMENTACION","FRUTERIA","",40.54477144,-3.64231256
"FRUTAS Y VERDURAS","CL MARQUES DE LA VALDAVIA (D 90 - (GALERIA ESPAÑA) PUESTO 28","28100","EJE VALDAVIA ESPAÑA","916521544","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JOSE RAMON GARCIA","ALIMENTACION","FRUTAS Y VERDURAS FRESCAS","",40.54527651,-3.64367600
"FRUTAS Y VERDURAS DAMA","CL MARQUES DE LA VALDAVIA (D 90 - (GALERIA ESPAÑA) PUESTO 43","28100","EJE VALDAVIA ESPAÑA","916534379","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","DAVID PONIENTE","ALIMENTACION","FRUTAS Y VERDURAS","",40.54550101,-3.64438664
"FRUTAS Y VERDURAS RODRIGUEZ","CL CONSTITUCION (DE LA) 43 - LOCAL 48","28100","Z.C. CONSTITUCION","649720965","NO DISPONIBLE","nataliarodriguez66@gmail.com","NO DISPONIBLE","MARCOS VILLA","ALIMENTACION","FRUTAS Y VERDURAS","",40.54263995,-3.63698826
"FRUTERIA HNOS. RUIZ","CL PABLO PICASSO (DE) 57","28100","Z.C. CONSTITUCION","916539606 / 626374089","NO DISPONIBLE","r.r.torres@hotmail.com","NO DISPONIBLE","RUIZ OREJON, RAÚL","ALIMENTACION","FRUTERIA","",40.54231811,-3.63748342
"FRUTERIA LAURA Y PACO","CL CONSTITUCION (DE LA) 104","28100","Z.C. CONSTITUCION","916536019","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","FRANCISCO RODRIGUEZ","ALIMENTACION","FRUTA Y VERDURA","",40.54677117,-3.64428498
"FRUTERIA NATURAL","PS CHOPERA (DE LA) 57 - LOCAL 2 B","28100","EJE CHOPERA","610797914","NO DISPONIBLE","jesusroldanblazquez@gmail.com","NO DISPONIBLE","JESUS ROLDAN BLAZQUEZ","ALIMENTACION","FRUTAS, VERDURAS Y HORTALIZAS","",40.54295204,-3.64362915
"FRUTERIA SOL","AV ESPAÑA (DE) 14","28100","EJE VALDAVIA ESPAÑA","916519519","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","JINSHENG LI","ALIMENTACION","FRUTERIA","",40.54509897,-3.64276974
"FRUTOS SECOS HERRERO","CL CONSTITUCION (DE LA) 71","28100","Z.C. CONSTITUCION","664334256","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","MIRIAM GARCIA","ALIMENTACION","FRUTOS SECOS, CHUCHES Y VARIANTES, REFRESCOS","",40.54369352,-3.63946701
"FRUTOS SECOS Y CHUCHES LA LUNA","AV MADRID (DE) 35","28100","OTRAS ZONAS","916620824 / 643358103","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","RAFAELA DUQUE","ALIMENTACION","FRUTOS SECOS Y CHUCHES A NIÑOS Y MAYORES","",40.55056836,-3.63870772
"FRUTOS SECOS Y VERIANTES","TR HUESCA (DE) 10","28100","LAS TIENDAS DEL CENTRO","679340931","NO DISPONIBLE","NO DISPONIBLE","NO DISPONIBLE","Mª CARMEN MAYORAL FERNANDEZ","ALIMENTACION","FRUTOS SECOS Y VARIANTES","",40.54204150,-3.63014461
"FRUTOS SECOS YOLI","CL FUEGO (DEL) 10","28100","Z.C. CONSTITUCION","916519678/916526268","NO DISPONIBLE","guillermogomez_telefonica@.net","NO DISPONIBLE","GUILLERMO GOMEZ","ALIMENTACION","FRUTOS SECOS","",40.54209830,-3.63447181
"FUEGOLET","CL FUEGO (DEL) 38","28100","Z.C. CONSTITUCION","910226160","NO DISPONIBLE","fuegolet@gmail.com","NO DISPONIBLE","FERNANDO EMILIO MUÑOZ MORENO","HOSTELERIA / OCIO","CIGARRILLOS ELECTRONICOS","",40.54429209,-3.63521578
"FUENTES Y CONTRATAS","CL PINTOR MURILLO (DEL) 33","28100","OTRAS ZONAS","916610996 / 609288675","916610996","fuentesycontratas@yahoo.es","NO DISPONIBLE","ANTONIO FUENTES","CONSTRUCCION Y REFORMA","CONSTRUCCION","",40.54441531,-3.64929590
